keys,zh_TW,en
ui.raid_result.transfer_empty,本次沒有帶回物品。按「回到基地」整理下一場行動。,No items were extracted. Return to base to prepare the next raid
ui.raid_result.transfer_dead,行動失敗：%d 種背包/裝備物資列為遺失，%d 種安全口袋物品已送回基地。按「回到基地」查看狀態。,Raid failed. %d backpack or equipment item groups are lost and %d safe pocket item groups returned to base. Return to base to review
ui.raid_result.empty_extracted,沒有帶回物品。,No extracted items
ui.raid_result.empty_lost,沒有遺失物品。,No lost items
ui.raid_result.empty_safe_pocket,安全口袋沒有物品。,No safe pocket items
ui.raid_result.extracted,撤離成功：帶回物資,Extracted: supplies secured
ui.raid_result.dead,行動失敗：死亡,Failed: dead
ui.raid_result.unknown,未知,Unknown
ui.raid_result.extracted_items,帶回物品,Extracted
ui.raid_result.lost_items,遺失物品,Lost
ui.raid_result.safe_pocket_items,安全口袋,Safe Pocket
enemy.scavenger.name,拾荒者,Scavenger
enemy.unknown.name,未知敵人,Unknown enemy
enemy.status.idle,待機,Idle
enemy.status.dead,死亡,Dead
enemy.status.injured,受傷,Injured
enemy.status.chase,追蹤中,Chasing
enemy.status.attack,攻擊,Attacking
enemy.status.alert,準備攻擊,Preparing attack
location.radio_tower.name,訊號塔,Signal tower
location.unknown.name,未知地點,Unknown location
ui.inventory.use,使用,Use
ui.inventory.mod,改裝,Mod
ui.weapon_mod.title,改裝,Mods
ui.weapon_mod.hint,將背包配件拖到相符插槽以安裝。,Drag a backpack attachment into a matching slot to install it.
ui.weapon_mod.summary_title,武器資訊,Weapon Info
ui.item_detail.info_title,物品資訊,Item Info
ui.item_detail.stats_title,物品數值,Item Stats
ui.weapon_detail.info_title,武器資訊,Weapon Info
ui.weapon_detail.stats_title,武器數值,Weapon Stats
ui.item.total_value,總價值,Total Value
ui.item.repair_wear,修理磨損,Repair Wear
ui.item_stat.heal_amount,恢復生命,Health Restore
ui.item_stat.stamina_restore,恢復體力,Stamina Restore
ui.item_stat.thirst_restore,補充水分,Hydration Restore
ui.item_stat.satiety_restore,恢復飽足,Satiety Restore
ui.item_stat.use_duration,使用時間,Use Time
ui.item_stat.max_health_bonus,最大生命上限,Max Health
ui.item_stat.compatible_ammo,相容彈藥,Compatible Ammo
ui.item_stat.attachment_slots,配件槽,Attachment Slots
ui.item_stat.ammo_type,彈藥類型,Ammo Type
ui.item.heal_amount_format,恢復生命 +%.0f,Restore Health +%.0f
ui.item.use_duration_format,使用時間 %.1f 秒,Use Time %.1f s
ui.item.stamina_restore_format,恢復體力 +%.0f,Restore Stamina +%.0f
ui.item.thirst_restore_format,補充水分 +%.0f,Restore Hydration +%.0f
ui.item.satiety_restore_format,恢復飽足 +%.0f,Restore Satiety +%.0f
ui.item.max_health_bonus_format,最大生命上限 +%.0f,Max Health +%.0f
ui.weapon_mod.summary_type,類型：%s,Type: %s
ui.weapon_mod.summary_weight,總重量 %.2f kg,Total weight %.2f kg
ui.weapon_mod.summary_durability,耐久 %d/%d,Durability %d/%d
ui.weapon_mod.summary_ammo,彈藥 %d/%d,Ammo %d/%d
ui.weapon_mod.unload_ammo,卸下子彈,Unload ammo
ui.weapon_mod.empty_slot,空,Empty
ui.weapon_mod.slot_format,%s 插槽,%s slot
ui.weapon_mod.installed_format,已安裝：%s,Installed: %s
ui.item.attachment_recoil_recovery_format,後座恢復 %.2fx,Recoil recovery %.2fx
ui.item.attachment_spread_multiplier_format,散布 %.2fx,Spread %.2fx
ui.item.weapon_recoil_format,後座 V%.1f / H%.1f,Recoil V%.1f / H%.1f
ui.item.ammo_spread_multiplier_format,散布 %.2fx,Spread %.2fx
ui.item.ammo_recoil_multiplier_format,後座 %.2fx,Recoil %.2fx
ui.top.status_slot_weapon_mag,彈匣,Magazine
ui.base.quest_action_failed,任務操作失敗。,Quest action failed.
ui.base.quest_accepted,已接受任務。,Quest accepted.
ui.base.quest_board_available,可接任務,Available quest
ui.base.accept_quest,接受任務,Accept Quest
ui.base.quest_board_empty,目前沒有可接任務。,No quests available.
ui.base.quest_board_hint,出擊前可先從任務板接受任務。,Accept quests from the quest board before raiding.
ui.base.workbench_craft_done,製作完成。,Craft complete.
ui.base.workbench_craft_failed_short,製作失敗。,Craft failed.
ui.base.workbench_blueprint_research_done,藍圖研究完成。,Blueprint research complete.
ui.base.workbench_blueprint_research_failed_short,藍圖研究失敗。,Blueprint research failed.
ui.base.workbench_repair_done,修理完成。,Repair complete.
ui.base.workbench_repair_failed_short,修理失敗。,Repair failed.
ui.base.workbench_dismantle_done,拆解完成。,Dismantle complete.
ui.base.workbench_dismantle_failed_short,拆解失敗。,Dismantle failed.
ui.base.workbench_recipe_select_failed,配方無法使用。,Recipe unavailable.
ui.base.workbench_repair_select_failed,修理物品無法使用。,Repair item unavailable.
ui.base.workbench_dismantle_select_failed,拆解物品無法使用。,Dismantle item unavailable.
ui.base.workbench.recipe_ready_short,可製作,Ready
ui.base.workbench.recipe_missing_short,缺材料,Missing
ui.base.workbench.repair_ready_short,可修理,Ready
ui.base.workbench.repair_missing_money_short,金錢不足,Need money
ui.base.workbench.dismantle_ready_short,可拆解,Ready
ui.base.workbench.dismantle_stash_full_short,倉庫已滿,No room
ui.base.workbench.blueprint_status_researched,已研究,Researched
ui.base.workbench.blueprint_status_station_locked,工作站未解鎖,Station locked
ui.base.workbench.blueprint_status_ready,可研究,Ready
ui.base.workbench.blueprint_status_missing,缺少藍圖,Missing blueprint
ui.base.workbench.fix_station_effect,效果：解鎖工作台修理模式。,Effect: unlocks workbench repair mode.
ui.base.workbench.fix_station_ready,狀態：材料已備齊，可進行安裝。,Status: materials ready for installation.
ui.base.workbench.fix_station_installed,修理站已安裝。,Fix Station installed.
ui.base.workbench.repair_none,沒有可修理裝備。,No repairable gear available.
ui.base.workbench.repair_list_title,修理,Repair
ui.base.workbench.repair_source_stash,倉庫,Stash
ui.base.workbench.repair_source_backpack,背包,Backpack
ui.base.workbench.repair_source_safe_pocket,安全口袋,Safe Pocket
ui.base.workbench.repair_source_equipment,裝備,Equipment
ui.base.workbench.disassemble_station_effect,效果：解鎖工作台拆解模式。,Effect: unlocks workbench dismantle mode.
ui.base.workbench.disassemble_station_ready,狀態：材料已備齊，可進行安裝。,Status: materials ready for installation.
ui.base.workbench.disassemble_station_installed,拆解站已安裝。,Disassemble Station installed.
ui.base.workbench.dismantle_none,沒有可拆解物品。,No dismantle candidates available.
ui.base.workbench.dismantle_list_title,拆解,Dismantle
ui.base.workbench.craft_missing,缺少材料,Missing materials
ui.base.workbench.craft_action_format,製作 %s,Craft %s
ui.base.workbench.recipe_none,沒有可用配方。,No recipes available.
ui.base.workbench.blocked_prerequisite,需要先完成前置升級。,Requires prerequisite upgrade.
ui.base.workbench.dismantle_locked,拆解站尚未安裝。,Disassemble Station is not installed.
ui.base.workbench.dismantle_stash_full,倉庫沒有空間存放拆解產物。,Warehouse has no room for dismantle outputs.
ui.base.workbench.recipe_missing,缺少配方材料。,Missing recipe materials.
ui.base.workbench.recipe_ready,材料已備齊，可以製作。,Materials ready. Crafting available.
ui.base.workbench.blueprint_research_action,研究藍圖,Research Blueprint
ui.base.workbench.blueprint_research_missing,沒有可研究藍圖,No blueprint ready
ui.base.workbench.fix_station_action,安裝修理站,Install Fix Station
ui.base.workbench.repair_unavailable,沒有可修理裝備,No repairable gear
ui.base.workbench.repair_action_format,修理 %s,Repair %s
ui.base.workbench.disassemble_station_action,安裝拆解站,Install Disassemble Station
ui.base.workbench.dismantle_unavailable,沒有可拆解物品,No dismantle item
ui.base.workbench.dismantle_action_format,拆解 %s,Dismantle %s
ui.base.workbench.recipe_list_title,配方,Recipes
ui.base.workbench.recipe_cost_format,配方成本：%s。,Recipe cost: %s.
ui.base.workbench.blueprint_none,沒有可用藍圖。,No blueprints available.
ui.base.workbench.blueprint_list_title,藍圖研究,Blueprint Research
ui.base.workbench.blueprint_row_format,%s -> %s - %s,%s -> %s - %s
ui.base.workbench.mode_craft,製作,Craft
ui.base.workbench.mode_blueprints,藍圖,Blueprints
ui.base.workbench.mode_repair,修理,Repair
ui.base.workbench.mode_dismantle,拆解,Dismantle
ui.item.projectile_pierce_chance_format,穿透機率 %.0f%%,Pierce chance %.0f%%
ui.item.ammo_penetration_level_format,穿甲等級 %.0f,Penetration Lv. %.0f
ui.item.ammo_damage_multiplier_format,彈藥傷害 %.2fx,Ammo damage %.2fx
ui.item.weapon_wear_rate_format,武器磨耗 %.2fx,Weapon wear %.2fx
ui.item.durability_format,耐久 %d/%d,Durability %d/%d
ui.item.repair_wear_format,修理磨損 -%d 最大耐久,Repair wear -%d max durability
ui.top.quest_tab_available,可接,Available
ui.top.quest_tab_active,進行中,Active
ui.top.quest_tab_completed,已完成,Completed
ui.top.quest_accept_action,接受任務,Accept Quest
ui.top.quest_submit_action,回報任務,Submit
ui.top.quest_cancel_action,取消任務,Cancel Quest
ui.top.quest_completed_action,已完成,Completed
ui.top.quest_active_action,進行中,Active
ui.top.quest_cancelled,任務已取消。,Quest cancelled.
ui.top.quest_no_reward,無,None
ui.top.quest_available,可接,Available
ui.top.quest_not_accepted,尚未接受,Not accepted
ui.top.quest_default_description,查看任務需求，完成後回來領取獎勵。,Review the quest requirements and return to claim rewards.
ui.top.quest_reward_money,現金,Cash
ui.top.status_slot_weapon_grip,握把,Grip
ui.top.status_slot_weapon_muzzle,槍口,Muzzle
ui.top.status_slot_weapon_scope,瞄具,Scope
ui.top.status_slot_weapon_stock,槍托,Stock
ui.top.status_slot_weapon_tactic,戰術配件,Tactical Attachment
ui.stash.storage_upgrade_ready_format,%s：%d -> %d，需求 %s。, %s: %d -> %d
ui.stash.storage_upgrade_all_owned_format,已完成目前所有倉庫擴容：容量 %d。,All current storage upgrades complete: capacity %d.
ui.top.map_route_raid,出生點 → %s 箱子區 → %s 撤離點。,Spawn -> %s crate area -> %s extraction.
ui.top.map_danger_raid,%s 巡邏區有拾荒者，靠近會追蹤並攻擊。,Scavengers patrol %s and will chase and attack if you get close.
ui.top.map_loot_raid,%s 可見 %d 個物資箱，優先搜尋後再撤離。,%s has %d visible supply crates. Search them before extracting.
ui.raid_hud.weapon_status_durability_broken_format,耐久耗盡 %d/%d,Durability depleted %d/%d
ui.raid_hud.weapon_status_durability_low_format,耐久低 %d/%d,Low durability %d/%d
ui.timed_action.seconds_format,%.1f 秒,%.1fs
prompt.player_busy,忙碌中,Busy
